Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF20 (Cy/Pxl) Mean Ctr,  0.1113,  0.0243,  0.0982,  0.0251,  0.0856,  0.0240,  0.0938,  0.3431,  0.0239,  0.0821,  0.3147,  0.2490,  0.3051,  0.0247,  0.0847,  0.0247,  0.0850,  0.2942,  0.3057
MTF20 (LW/PH) Mean Ctr,    894.5,    195.0,    789.6,    201.8,    687.9,    193.2,    754.1,   2758.4,    192.0,    659.7,   2530.1,   2002.1,   2452.7,    198.5,    681.2,    198.5,    683.1,   2365.6,   2457.5
LSF PW50 (pxl) Mean Ctr,  0.3028,  0.4406,  0.4435,  0.2366,  1.6478,  0.4017,  0.3779,  0.4835,  0.3968,  0.7470,  1.5933,  1.9098,  2.1249,  0.3869,  3.8800,  0.4577,  0.6593,  2.2775,  2.1945
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, -0.29625, -6.92453, -0.19863,  2.91986, -0.27140,  1.68175,  0.55651, -0.23461,  2.27064,  0.24311,  0.03887,  0.44561, -0.06329,  0.84783,  0.16088, -0.10009,  0.16073,  0.10471,  0.12711
CA (B-G %) Mean Ctr, -0.72614,  6.50178,  0.34219,  1.76316, -0.15058,  3.78298, -0.36036,  0.16155,  2.74130,  0.17602,  0.24712,  0.43579,  0.07989,  0.81671,  0.13854, -0.14696,  0.18201,  0.22585,  0.25134
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.2527,  0.1122,  0.1295,  0.0576,  0.0999,  0.1210,  0.1284,  0.2208,  0.0672,  0.0912,  0.2152,  0.2132,  0.1908,  0.0326,  0.0686,  0.0318,  0.0703,  0.1967,  0.1997
s1-MTF50. Mean Ctr,     0.09707,     0.01640,     0.05872,     0.01670,     0.05326,     0.01652,     0.05430,     0.16427,     0.01643,     0.05505,     0.16413,     0.19385,     0.15150,     0.01676,     0.05453,     0.01672,     0.05493,     0.17074,     0.18621
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.07,  0.07,  0.11,  0.07,  0.22,  0.07,  0.10,  0.25,  0.08,  0.20,  0.62,  0.24,  0.56,  0.07,  0.36,  0.07,  0.36,  1.41,  1.43
Info Capacity C_max Mean Ctr,  1.13,  1.38,  1.10,  1.39,  1.52,  1.29,  1.13,  1.67,  1.49,  1.26,  2.38,  1.51,  2.05,  1.36,  2.21,  1.23,  2.36,  3.54,  3.56
SNRi 2x8 pixels Mean Ctr,  2.38,  3.58,  4.14,  6.32,  8.80,  6.51,  4.70, 11.01,  6.89,  8.90, 17.59, 10.94, 16.59,  8.53, 14.42,  8.91, 14.74, 26.99, 26.76
Edge location sigma 2x8 Mean Ctr,  3.92,  2.64,  3.91,  2.46,  3.02,  2.64,  4.91,  4.29,  1.81,  3.64,  2.36,  4.64,  2.67,  1.53,  2.82,  1.57,  2.65,  0.73,  0.73

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Mean Pt Wy,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SNRi 2x8 pixels Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Edge location sigma 2x8 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

MTF50 (Cy/Pxl) Min Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Max Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
