Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50P (LW/PH) Mean Ctr,    294.0,    134.3,    168.9,    137.1,    168.4,    138.9,    165.0,   1185.1,    131.5,    170.6,   1550.2,   1337.9,   1518.7,    135.0,    170.5,    134.4,    169.7,   1424.6,   1447.4
MTF20 (Cy/Pxl) Mean Ctr,  0.0542,  0.0240,  0.0301,  0.0249,  0.0300,  0.0263,  0.0291,  0.3555,  0.0241,  0.0305,  0.3393,  0.3629,  0.3181,  0.0247,  0.0307,  0.0247,  0.0305,  0.3267,  0.3040
MTF20 (LW/PH) Mean Ctr,    436.0,    193.1,    242.0,    200.3,    241.1,    211.1,    233.7,   2857.8,    193.6,    245.4,   2728.0,   2918.0,   2557.2,    198.2,    246.5,    198.6,    245.6,   2626.5,   2444.3
LSF PW50 (pxl) Mean Ctr,  0.3518,  0.3283,  0.3134,  0.2749,  0.3281,  0.2867,  0.3998,  0.6801,  0.4137,  0.4435,  2.0187,  0.7957,  1.0662,  0.3686,  0.2917,  0.3058,  0.3882,  1.9655,  2.1253
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr,  0.33303,  5.21804,  1.52091,  5.01306,  0.74231,  7.11672,  1.48178,  0.28425, -0.09049,  1.95820,  0.22964,  0.08616,  0.06514, -0.08420,  0.07527,  0.76502,  0.87609,  0.04280,  0.03310
CA (B-G %) Mean Ctr, -0.14018, -4.40145, -1.47723,  3.08258,  1.79397,  4.91384, -1.98654,  0.06457,  0.14516,  1.92150,  0.30287,  0.20277,  0.28640,  0.24256,  0.27739,  0.06756,  0.74041,  0.23442,  0.23841
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1937,  0.1116,  0.1047,  0.0680,  0.0619,  0.1152,  0.0982,  0.2283,  0.0617,  0.0702,  0.1973,  0.1999,  0.2068,  0.0281,  0.0348,  0.0303,  0.0341,  0.2031,  0.2013
