Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50P (LW/PH) Mean Ctr,   3654.2,    134.4,    172.3,    133.1,    171.8,    127.3,    171.9,   1096.7,    133.9,    169.9,   1386.1,   1158.0,   1468.2,    133.3,    170.2,    133.4,    170.6,   1415.7,   1426.0
MTF20 (Cy/Pxl) Mean Ctr,  0.0806,  0.0257,  0.0314,  0.0243,  0.0311,  0.0239,  0.0318,  0.1894,  0.0245,  0.0307,  0.3211,  0.2316,  0.3463,  0.0241,  0.0305,  0.0242,  0.0305,  0.3045,  0.2992
MTF20 (LW/PH) Mean Ctr,    648.1,    206.9,    252.7,    195.7,    250.3,    192.5,    255.6,   1522.6,    197.1,    246.4,   2581.8,   1861.7,   2784.6,    194.1,    245.2,    194.7,    245.5,   2448.3,   2405.5
LSF PW50 (pxl) Mean Ctr,  0.2525,  0.3613,  0.2807,  0.3815,  0.3062,  0.2831,  0.3096,  0.5698,  0.3250,  0.2716,  0.9994,  1.1405,  0.6992,  0.4047,  0.3551,  0.3612,  0.4047,  2.2427,  2.1419
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr,  4.43579,  9.42574,  7.20849, -1.59943,  4.68347,  2.37200, -4.18409, -0.03203,  1.57987,  0.50760,  0.12996, -0.10670,  0.10757,  0.03523,  0.00616,  0.63265, -0.27903,  0.07970,  0.12161
CA (B-G %) Mean Ctr, -0.89320,  3.15314,  6.66609,  0.65707,  1.71230,  4.54840,  0.56292,  0.12334,  0.57532,  0.99890,  0.27578,  0.25361,  0.20735, -0.07357,  0.10491,  1.89193,  0.66657,  0.18805,  0.23590
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1859,  0.1364,  0.1345,  0.0851,  0.0798,  0.1490,  0.1584,  0.2113,  0.0977,  0.0818,  0.2115,  0.2176,  0.2233,  0.0321,  0.0395,  0.0362,  0.0378,  0.1936,  0.2038
s1-MTF50. Mean Ctr,     0.02462,     0.01672,     0.02143,     0.01655,     0.02137,     0.01583,     0.02138,     0.13641,     0.01665,     0.02113,     0.17240,     0.14403,     0.18306,     0.01658,     0.02116,     0.01660,     0.02122,     0.17608,     0.17744
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.03,  0.03,  0.05,  0.07,  0.08,  0.05,  0.05,  0.12,  0.08,  0.08,  0.39,  0.12,  0.40,  0.07,  0.11,  0.07,  0.10,  1.20,  1.25
Info Capacity C_max Mean Ctr,  1.10,  1.33,  1.17,  2.17,  1.33,  1.23,  1.26,  1.59,  3.10,  1.23,  2.28,  1.60,  2.38,  1.71,  3.08,  1.76,  2.01,  3.54,  3.88
SNRi 2x8 pixels Mean Ctr,  1.25,  0.76,  1.36,  4.64,  4.04,  3.39,  6.06,  6.95,  6.35,  3.88, 14.17,  6.22, 14.06,  6.95,  6.76,  8.14,  7.68, 24.93, 25.04
Edge location sigma 2x8 Mean Ctr,  4.07,  4.64,  3.77,  2.26,  2.55,  3.19,  2.03,  4.41,  1.77,  2.95,  3.53,  5.22,  2.92,  2.17,  1.73,  1.58,  2.20,  1.03,  0.94

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
