Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3416  1881  3723  2291 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,12-May-2025 16:26:17,
File, cup_55.0 mm_6400ISO_-2EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_-2EV_Dist1_ON_Focused.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , 
Lens, , , , , , , , 
ISO speed, , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

Info Capacity C_max Mean Ctr,  1.36,  1.60,  1.73,  1.85,  1.75,  1.84,  1.43,  1.78
SNRi 2x8 pixels Mean Ctr,  3.26,  3.82,  3.34,  2.90,  0.85,  4.00,  3.27,  1.20
Edge location sigma 2x8 Mean Ctr,  2.83,  3.20,  2.94,  3.21,  4.18,  2.72,  3.19,  3.95

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
