Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3428  1907  3702  2315 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 10:05:43,07-May-2025 10:05:43,
File, car_55.0 mm_25600ISO_+1EV_Dist1_ON_Focused.tiff,car_55.0 mm_25600ISO_+1EV_Dist1_ON_Defocus2.tiff,
Camera, , 
Lens, , 
ISO speed, , 
Focal length, 18, 18
Shutter speed, , 
Aperture, f/11, f/11

Plot title

CA (area %) Mean Cor,  0.00000,  0.00000
CA (crossing %) Mean Cor,  0.00000,  0.00000
CA (R-G %) Mean Cor,  0.00000,  0.00000
CA (B-G %) Mean Cor,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Cor,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Cor,  0.0000,  0.0000
s1-MTF50. Mean Cor,     0.00000,     0.00000
Shannon capacity Mean Cor,  0.00,  0.00
Info Capacity C_4 Mean Cor,  0.00,  0.00
Info Capacity C_max Mean Cor,  0.00,  0.00
SNRi 2x8 pixels Mean Cor,  0.00,  0.00
Edge location sigma 2x8 Mean Cor,  0.00,  0.00

MTF50 (Cy/Pxl) Min Cor,  0.0000,  0.0000
R1090 (pxl) Max Cor,  0.0000,  0.0000
CA (pxl) Max Cor,  0.0000,  0.0000
MTF50 (LW/PH) Min Cor,      0.0,      0.0
R1090 (/PH) Max Cor,      0.0,      0.0
Peak MTF Max Cor,   0.000,   0.000
MTF50P (Cy/Pxl) Min Cor,  0.0000,  0.0000
MTF50P (LW/PH) Min Cor,      0.0,      0.0
MTF20 (Cy/Pxl) Min Cor,  0.0000,  0.0000
MTF20 (LW/PH) Min Cor,      0.0,      0.0
LSF PW50 (pxl) Max Cor,  0.0000,  0.0000
CA (area %) Max Cor,  0.00000,  0.00000
CA (crossing %) Max Cor,  0.00000,  0.00000
CA (R-G %) Max Cor,  0.00000,  0.00000
CA (B-G %) Max Cor,  0.00000,  0.00000
MTF50C (Cy/Pxl) Max Cor,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Min Cor,  0.0000,  0.0000
s1-MTF50. Min Cor,     0.00000,     0.00000
Shannon capacity Min Cor,  0.00,  0.00
Info Capacity C_4 Min Cor,  0.00,  0.00
Info Capacity C_max Min Cor,  0.00,  0.00
SNRi 2x8 pixels Min Cor,  0.00,  0.00
Edge location sigma 2x8 Min Cor,  0.00,  0.00

MTF50 (Cy/Pxl) Wtd mean,  0.0982,  0.0085
R1090 (pxl) Wtd mean,  5.3841, 144.2691
CA (pxl) Wtd mean,  0.0000,  0.0000
MTF50 (LW/PH) Wtd mean,    789.3,     68.5
R1090 (/PH) Wtd mean,    746.6,     27.9
Peak MTF Wtd mean,   1.002,   1.000
MTF50P (Cy/Pxl) Wtd mean,  0.0981,  0.0085
MTF50P (LW/PH) Wtd mean,    789.1,     68.5
MTF20 (Cy/Pxl) Wtd mean,  0.1406,  0.0122
MTF20 (LW/PH) Wtd mean,   1130.1,     98.5
LSF PW50 (pxl) Wtd mean,  0.6001,  0.4444
CA (area %) Wtd mean,  0.00000,  0.00000
CA (crossing %) Wtd mean,  0.00000,  0.00000
CA (R-G %) Wtd mean,  0.00000,  0.00000
CA (B-G %) Wtd mean,  0.00000,  0.00000
MTF50C (Cy/Pxl) Wtd mean,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Wtd mean,  0.1648,  0.1406
s1-MTF50. Wtd mean,     0.09817,     0.00851
Shannon capacity Wtd mean,  0.00,  0.00
Info Capacity C_4 Wtd mean,  0.10,  0.06
Info Capacity C_max Wtd mean,  0.78,  0.72
SNRi 2x8 pixels Wtd mean,  5.84,  8.80
Edge location sigma 2x8 Wtd mean,  7.16,  1.57
