Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3419  1883  3726  2297 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 15:51:31,12-May-2025 15:51:31,
File, sports ball_55.0 mm_25600ISO_0EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_25600ISO_0EV_Dist1_ON_Focused.tiff,
Camera, , 
Lens, , 
ISO speed, , 
Focal length, 18, 18
Shutter speed, , 
Aperture, f/11, f/11

Plot title

CA (area %) Mean Cor,  0.00000,  0.00000
CA (crossing %) Mean Cor,  0.00000,  0.00000
CA (R-G %) Mean Cor,  0.00000,  0.00000
CA (B-G %) Mean Cor,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Cor,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Cor,  0.0000,  0.0000
s1-MTF50. Mean Cor,     0.00000,     0.00000
Shannon capacity Mean Cor,  0.00,  0.00
Info Capacity C_4 Mean Cor,  0.00,  0.00
Info Capacity C_max Mean Cor,  0.00,  0.00
SNRi 2x8 pixels Mean Cor,  0.00,  0.00
Edge location sigma 2x8 Mean Cor,  0.00,  0.00

MTF50 (Cy/Pxl) Min Cor,  0.0000,  0.0000
R1090 (pxl) Max Cor,  0.0000,  0.0000
CA (pxl) Max Cor,  0.0000,  0.0000
MTF50 (LW/PH) Min Cor,      0.0,      0.0
R1090 (/PH) Max Cor,      0.0,      0.0
Peak MTF Max Cor,   0.000,   0.000
MTF50P (Cy/Pxl) Min Cor,  0.0000,  0.0000
MTF50P (LW/PH) Min Cor,      0.0,      0.0
MTF20 (Cy/Pxl) Min Cor,  0.0000,  0.0000
MTF20 (LW/PH) Min Cor,      0.0,      0.0
LSF PW50 (pxl) Max Cor,  0.0000,  0.0000
CA (area %) Max Cor,  0.00000,  0.00000
CA (crossing %) Max Cor,  0.00000,  0.00000
CA (R-G %) Max Cor,  0.00000,  0.00000
CA (B-G %) Max Cor,  0.00000,  0.00000
MTF50C (Cy/Pxl) Max Cor,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Min Cor,  0.0000,  0.0000
s1-MTF50. Min Cor,     0.00000,     0.00000
Shannon capacity Min Cor,  0.00,  0.00
Info Capacity C_4 Min Cor,  0.00,  0.00
Info Capacity C_max Min Cor,  0.00,  0.00
SNRi 2x8 pixels Min Cor,  0.00,  0.00
Edge location sigma 2x8 Min Cor,  0.00,  0.00

MTF50 (Cy/Pxl) Wtd mean,  0.0088,  0.0220
R1090 (pxl) Wtd mean, 37.1539, 18.4930
CA (pxl) Wtd mean,  0.0000,  0.0000
MTF50 (LW/PH) Wtd mean,     70.4,    176.7
R1090 (/PH) Wtd mean,    108.2,    217.4
Peak MTF Wtd mean,   1.541,   1.331
MTF50P (Cy/Pxl) Wtd mean,  0.3804,  0.4865
MTF50P (LW/PH) Wtd mean,   3058.5,   3911.2
MTF20 (Cy/Pxl) Wtd mean,  0.0123,  0.0342
MTF20 (LW/PH) Wtd mean,     98.7,    275.3
LSF PW50 (pxl) Wtd mean,  0.2643,  0.2780
CA (area %) Wtd mean,  0.00000,  0.00000
CA (crossing %) Wtd mean,  0.00000,  0.00000
CA (R-G %) Wtd mean,  0.00000,  0.00000
CA (B-G %) Wtd mean,  0.00000,  0.00000
MTF50C (Cy/Pxl) Wtd mean,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Wtd mean,  0.1584,  0.1836
s1-MTF50. Wtd mean,     0.00876,     0.02198
Shannon capacity Wtd mean,  0.00,  0.00
Info Capacity C_4 Wtd mean,  0.07,  0.07
Info Capacity C_max Wtd mean,  1.09,  1.07
SNRi 2x8 pixels Wtd mean,  6.98,  6.65
Edge location sigma 2x8 Wtd mean,  1.86,  1.70
