Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_1600ISO_-3EV_Dist1_ON_Defocus1.tiff
Run date,12-May-2025 16:28:02,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.13, 0.9834, 1.0104, 0.9752, 0.9933, 0.9834
0.0065,   52.25, 0.8952, 0.8978, 0.8929, 0.9147, 0.8952
0.0097,   78.38, 0.7733, 0.7331, 0.7790, 0.8292, 0.7733
0.0130,  104.51, 0.6529, 0.5753, 0.6721, 0.6711, 0.6529
0.0162,  130.63, 0.5041, 0.4692, 0.5089, 0.5921, 0.5041
0.0195,  156.76, 0.3371, 0.3425, 0.3260, 0.5268, 0.3371
0.0227,  182.88, 0.2313, 0.2235, 0.2222, 0.3512, 0.2313
0.0260,  209.01, 0.1327, 0.1261, 0.1313, 0.2038, 0.1327
0.0292,  235.14, 0.0484, 0.0448, 0.0762, 0.2493, 0.0484
0.0325,  261.26, 0.0122, 0.0840, 0.0329, 0.2534, 0.0122
0.0357,  287.39, 0.0479, 0.1504, 0.0919, 0.2809, 0.0479
0.0390,  313.52, 0.1056, 0.2302, 0.1973, 0.3260, 0.1056
0.0422,  339.64, 0.0856, 0.2601, 0.1623, 0.1893, 0.0856
0.0455,  365.77, 0.0735, 0.2662, 0.0522, 0.1134, 0.0735
0.0487,  391.90, 0.1105, 0.1730, 0.1188, 0.1041, 0.1105
0.0520,  418.02, 0.1324, 0.1983, 0.2342, 0.0033, 0.1324
0.0552,  444.15, 0.2071, 0.3844, 0.2508, 0.0252, 0.2071
0.0585,  470.27, 0.1720, 0.6478, 0.1070, 0.0854, 0.1720
0.0617,  496.40, 0.1401, 0.7061, 0.0278, 0.1125, 0.1401
0.0650,  522.53, 0.1222, 0.6899, 0.0314, 0.1372, 0.1222
0.0682,  548.65, 0.0504, 0.5396, 0.1315, 0.1824, 0.0504
0.0715,  574.78, 0.0717, 0.4796, 0.0969, 0.1566, 0.0717
0.0747,  600.91, 0.1472, 0.5953, 0.2639, 0.3406, 0.1472
0.0780,  627.03, 0.1060, 0.7277, 0.2952, 0.5893, 0.1060
0.0812,  653.16, 0.1327, 0.6277, 0.2730, 0.7669, 0.1327
0.0845,  679.29, 0.1566, 0.5590, 0.1906, 0.6050, 0.1566
0.0877,  705.41, 0.1274, 0.5336, 0.0593, 0.7525, 0.1274
0.0910,  731.54, 0.1521, 0.3814, 0.1948, 0.9259, 0.1521
0.0942,  757.67, 0.2161, 0.5656, 0.2173, 0.7351, 0.2161
0.0975,  783.79, 0.2610, 0.4534, 0.3039, 0.5690, 0.2610
0.1007,  809.92, 0.2591, 0.2781, 0.4540, 0.7011, 0.2591
0.1040,  836.04, 0.1809, 0.4103, 0.4043, 0.5559, 0.1809
0.1072,  862.17, 0.1298, 0.2257, 0.2158, 0.1446, 0.1298
0.1105,  888.30, 0.2045, 0.4752, 0.1631, 0.0920, 0.2045
0.1137,  914.42, 0.3294, 0.6549, 0.3313, 0.5730, 0.3294
0.1170,  940.55, 0.3835, 0.6261, 0.4661, 1.0507, 0.3835
0.1202,  966.68, 0.2866, 0.6275, 0.3095, 0.7692, 0.2866
0.1235,  992.80, 0.1882, 0.3996, 0.4116, 0.5406, 0.1882
0.1267, 1018.93, 0.3267, 0.2358, 0.4858, 0.2179, 0.3267
0.1300, 1045.06, 0.1957, 0.2725, 0.3164, 0.3664, 0.1957
0.1332, 1071.18, 0.0371, 0.4692, 0.1677, 0.0968, 0.0371
0.1365, 1097.31, 0.0562, 0.2751, 0.0900, 0.2972, 0.0562
0.1397, 1123.43, 0.0323, 0.4452, 0.1888, 0.2652, 0.0323
0.1430, 1149.56, 0.3224, 0.5042, 0.4754, 0.4708, 0.3224
0.1462, 1175.69, 0.4204, 0.7026, 0.4787, 0.7294, 0.4204
0.1495, 1201.81, 0.3471, 0.8140, 0.4875, 0.7323, 0.3471
0.1527, 1227.94, 0.2840, 0.4501, 0.3372, 0.8173, 0.2840
0.1560, 1254.07, 0.2016, 0.8044, 0.2712, 0.5017, 0.2016
0.1592, 1280.19, 0.1730, 0.3572, 0.1717, 0.1972, 0.1730
0.1625, 1306.32, 0.2108, 0.4947, 0.1955, 0.1753, 0.2108
0.1657, 1332.45, 0.3691, 0.3227, 0.4610, 0.6474, 0.3691
0.1690, 1358.57, 0.5069, 0.4814, 0.5658, 0.1834, 0.5069
0.1722, 1384.70, 0.4386, 0.9089, 0.4690, 0.6464, 0.4386
0.1755, 1410.82, 0.2875, 0.4795, 0.4572, 0.8571, 0.2875
0.1787, 1436.95, 0.1685, 0.3965, 0.2441, 0.4850, 0.1685
0.1820, 1463.08, 0.1574, 0.2861, 0.2774, 0.1031, 0.1574
0.1852, 1489.20, 0.2876, 0.9103, 0.3225, 0.3819, 0.2876
0.1885, 1515.33, 0.3839, 0.9264, 0.2969, 0.3879, 0.3839
0.1917, 1541.46, 0.1012, 0.6547, 0.1027, 0.6847, 0.1012
0.1950, 1567.58, 0.2939, 0.5508, 0.4196, 0.5449, 0.2939
0.1982, 1593.71, 0.4771, 1.1389, 0.4089, 0.3453, 0.4771
0.2015, 1619.84, 0.4646, 1.2662, 0.3333, 0.4580, 0.4646
0.2047, 1645.96, 0.2453, 0.5106, 0.2711, 0.6543, 0.2453
0.2080, 1672.09, 0.1461, 0.1610, 0.2583, 0.2059, 0.1461
0.2112, 1698.21, 0.3774, 0.1617, 0.4938, 0.2432, 0.3774
0.2145, 1724.34, 0.3289, 0.6549, 0.3594, 0.3464, 0.3289
0.2177, 1750.47, 0.1921, 0.6673, 0.2856, 0.4174, 0.1921
0.2210, 1776.59, 0.1536, 0.6196, 0.2693, 0.6102, 0.1536
0.2242, 1802.72, 0.2680, 1.2734, 0.1472, 0.7419, 0.2680
0.2275, 1828.85, 0.2253, 0.7263, 0.2093, 0.3941, 0.2253
0.2307, 1854.97, 0.2141, 0.7185, 0.0898, 0.6420, 0.2141
0.2340, 1881.10, 0.2797, 0.6774, 0.1435, 0.6802, 0.2797
0.2372, 1907.23, 0.1110, 0.0759, 0.1079, 0.6411, 0.1110
0.2405, 1933.35, 0.1397, 0.4816, 0.1466, 0.4216, 0.1397
0.2437, 1959.48, 0.4186, 0.9685, 0.3369, 0.2527, 0.4186
0.2470, 1985.60, 0.5053, 0.8891, 0.4512, 0.3948, 0.5053
0.2502, 2011.73, 0.5737, 0.4252, 0.6367, 0.4331, 0.5737
0.2535, 2037.86, 0.5889, 0.3623, 0.7021, 0.5766, 0.5889
0.2567, 2063.98, 0.2319, 0.2824, 0.2773, 0.3306, 0.2319
0.2600, 2090.11, 0.1204, 0.4640, 0.0441, 0.2409, 0.1204
0.2632, 2116.24, 0.1043, 0.6725, 0.2681, 0.6623, 0.1043
0.2665, 2142.36, 0.4449, 0.5780, 0.5171, 0.6433, 0.4449
0.2697, 2168.49, 0.4840, 0.6687, 0.4679, 0.6506, 0.4840
0.2730, 2194.62, 0.6146, 1.1874, 0.5140, 0.4781, 0.6146
0.2762, 2220.74, 0.4142, 1.1972, 0.2891, 0.4857, 0.4142
0.2795, 2246.87, 0.1650, 0.4150, 0.2155, 0.5240, 0.1650
0.2827, 2273.00, 0.1390, 0.2823, 0.2687, 0.1650, 0.1390
0.2860, 2299.12, 0.2355, 0.4534, 0.2917, 0.3456, 0.2355
0.2892, 2325.25, 0.3594, 0.3926, 0.3267, 0.6246, 0.3594
0.2925, 2351.37, 0.1964, 0.1924, 0.1441, 0.8102, 0.1964
0.2957, 2377.50, 0.1708, 0.5617, 0.1182, 0.3228, 0.1708
0.2990, 2403.63, 0.2176, 0.3392, 0.1774, 0.3330, 0.2176
0.3022, 2429.75, 0.2029, 0.2973, 0.2609, 0.3713, 0.2029
0.3055, 2455.88, 0.2030, 0.7648, 0.1363, 0.2826, 0.2030
0.3087, 2482.01, 0.3101, 0.8262, 0.2836, 0.4101, 0.3101
0.3120, 2508.13, 0.3355, 0.5973, 0.4158, 0.3099, 0.3355
0.3152, 2534.26, 0.1312, 0.3795, 0.2519, 0.2766, 0.1312
0.3185, 2560.39, 0.3882, 0.5436, 0.3548, 0.4914, 0.3882
0.3217, 2586.51, 0.5456, 0.4817, 0.6532, 0.6098, 0.5456
0.3250, 2612.64, 0.3877, 0.3398, 0.4299, 0.7329, 0.3877
0.3282, 2638.76, 0.5501, 0.9287, 0.4461, 0.7701, 0.5501
0.3315, 2664.89, 0.6479, 0.9856, 0.5608, 0.6776, 0.6479
0.3347, 2691.02, 0.6575, 0.7750, 0.6285, 0.7117, 0.6575
0.3380, 2717.14, 0.5520, 0.6419, 0.5521, 0.5531, 0.5520
0.3412, 2743.27, 0.3792, 0.7237, 0.3199, 0.3422, 0.3792
0.3445, 2769.40, 0.2195, 0.8055, 0.1317, 0.2297, 0.2195
0.3477, 2795.52, 0.3051, 0.9664, 0.1101, 0.7103, 0.3051
0.3510, 2821.65, 0.3249, 0.8462, 0.1620, 0.7994, 0.3249
0.3542, 2847.78, 0.2139, 0.3792, 0.3046, 0.7211, 0.2139
0.3575, 2873.90, 0.3900, 0.4345, 0.3949, 0.7652, 0.3900
0.3607, 2900.03, 0.1344, 0.2649, 0.0843, 0.7153, 0.1344
0.3639, 2926.15, 0.1433, 0.1915, 0.1578, 0.5566, 0.1433
0.3672, 2952.28, 0.4001, 0.3931, 0.3932, 0.5569, 0.4001
0.3704, 2978.41, 0.5104, 0.7710, 0.4567, 0.5291, 0.5104
0.3737, 3004.53, 0.3407, 0.6522, 0.2276, 0.7811, 0.3407
0.3769, 3030.66, 0.3954, 0.7021, 0.2677, 1.0826, 0.3954
0.3802, 3056.79, 0.2919, 0.7155, 0.2280, 0.9114, 0.2919
0.3834, 3082.91, 0.1738, 0.3205, 0.1189, 0.8350, 0.1738
0.3867, 3109.04, 0.0774, 0.0848, 0.0749, 0.6410, 0.0774
0.3899, 3135.17, 0.4168, 0.3009, 0.4602, 0.5201, 0.4168
0.3932, 3161.29, 0.4448, 0.2553, 0.4818, 0.7517, 0.4448
0.3964, 3187.42, 0.1635, 0.3671, 0.2863, 0.3990, 0.1635
0.3997, 3213.54, 0.0619, 0.7578, 0.1215, 0.0883, 0.0619
0.4029, 3239.67, 0.1816, 0.8056, 0.2031, 0.2343, 0.1816
0.4062, 3265.80, 0.0660, 0.5151, 0.1622, 0.3403, 0.0660
0.4094, 3291.92, 0.1754, 0.1874, 0.2556, 0.2132, 0.1754
0.4127, 3318.05, 0.0709, 0.4199, 0.0604, 0.4358, 0.0709
0.4159, 3344.18, 0.1884, 0.4928, 0.1190, 0.4744, 0.1884
0.4192, 3370.30, 0.3832, 0.3963, 0.3933, 0.3163, 0.3832
0.4224, 3396.43, 0.3995, 0.3669, 0.4348, 0.3202, 0.3995
0.4257, 3422.56, 0.5553, 0.4460, 0.5841, 0.7727, 0.5553
0.4289, 3448.68, 0.4278, 0.5503, 0.3781, 0.7980, 0.4278
0.4322, 3474.81, 0.3022, 0.3128, 0.3708, 0.2577, 0.3022
0.4354, 3500.94, 0.4636, 0.4708, 0.5183, 0.2703, 0.4636
0.4387, 3527.06, 0.1910, 0.1026, 0.2451, 0.4400, 0.1910
0.4419, 3553.19, 0.3175, 0.2868, 0.3207, 0.4418, 0.3175
0.4452, 3579.31, 0.3147, 0.3871, 0.2934, 0.5184, 0.3147
0.4484, 3605.44, 0.1993, 0.3060, 0.1983, 0.1967, 0.1993
0.4517, 3631.57, 0.1581, 0.2373, 0.1382, 0.1496, 0.1581
0.4549, 3657.69, 0.0228, 0.0227, 0.0324, 0.1340, 0.0228
0.4582, 3683.82, 0.4664, 0.3441, 0.5134, 0.4135, 0.4664
0.4614, 3709.95, 0.9339, 0.7866, 1.0051, 0.6186, 0.9339
0.4647, 3736.07, 0.8289, 0.8153, 0.8612, 0.6983, 0.8289
0.4679, 3762.20, 0.2295, 0.4357, 0.1894, 0.4002, 0.2295
0.4712, 3788.33, 0.2752, 0.0168, 0.3680, 0.2668, 0.2752
0.4744, 3814.45, 0.4752, 0.2050, 0.5866, 0.3069, 0.4752
0.4777, 3840.58, 0.5793, 0.4023, 0.6694, 0.1939, 0.5793
0.4809, 3866.70, 0.6065, 0.5587, 0.6406, 0.4204, 0.6065
0.4842, 3892.83, 0.4084, 0.4051, 0.3956, 0.5532, 0.4084
0.4874, 3918.96, 0.2901, 0.1780, 0.3194, 0.4230, 0.2901
0.4907, 3945.08, 0.3346, 0.0781, 0.4152, 0.3835, 0.3346
0.4939, 3971.21, 0.2667, 0.1359, 0.3332, 0.5083, 0.2667
0.4972, 3997.34, 0.2634, 0.7296, 0.2617, 0.3786, 0.2634
0.5004, 4023.46, 0.2225, 1.2032, 0.1592, 0.6260, 0.2225
0.5037, 4049.59, 0.2455, 0.5528, 0.2190, 0.3610, 0.2455
0.5069, 4075.72, 0.1525, 0.3209, 0.2696, 0.2226, 0.1525
0.5102, 4101.84, 0.1606, 0.3312, 0.1539, 0.2166, 0.1606
0.5134, 4127.97, 0.3711, 0.8305, 0.3211, 0.2862, 0.3711
0.5167, 4154.09, 0.3189, 0.6373, 0.2960, 0.2480, 0.3189
0.5199, 4180.22, 0.5140, 0.6791, 0.5197, 0.1048, 0.5140
0.5232, 4206.35, 0.8342, 0.8136, 0.8721, 0.6523, 0.8342
0.5264, 4232.47, 0.8828, 0.8515, 0.9057, 0.7544, 0.8828
0.5297, 4258.60, 0.4610, 0.5057, 0.4353, 0.6059, 0.4610
0.5329, 4284.73, 0.8635, 0.7817, 0.9050, 0.7022, 0.8635
0.5362, 4310.85, 0.7745, 0.7960, 0.8287, 0.4831, 0.7745
0.5394, 4336.98, 0.2367, 0.4394, 0.2557, 0.3397, 0.2367
0.5427, 4363.11, 0.2710, 0.0851, 0.3391, 0.4958, 0.2710
0.5459, 4389.23, 0.6932, 0.6986, 0.7314, 0.5757, 0.6932
0.5492, 4415.36, 0.6817, 1.0691, 0.6194, 0.5839, 0.6817
0.5524, 4441.48, 0.4957, 0.6295, 0.4688, 0.4109, 0.4957
0.5557, 4467.61, 0.0906, 0.1382, 0.1071, 0.2169, 0.0906
0.5589, 4493.74, 0.4768, 0.3751, 0.5274, 0.4832, 0.4768
0.5622, 4519.86, 0.4579, 0.2927, 0.5202, 0.2922, 0.4579
0.5654, 4545.99, 0.2754, 0.4817, 0.2546, 0.1433, 0.2754
0.5687, 4572.12, 0.4356, 0.4923, 0.4376, 0.2703, 0.4356
0.5719, 4598.24, 0.6278, 0.5201, 0.6968, 0.4792, 0.6278
0.5752, 4624.37, 0.3814, 0.5355, 0.4129, 0.2938, 0.3814
0.5784, 4650.50, 0.1383, 0.2369, 0.0997, 0.3311, 0.1383
0.5817, 4676.62, 0.1802, 0.4897, 0.1196, 0.3176, 0.1802
0.5849, 4702.75, 0.4329, 1.0688, 0.3276, 0.3246, 0.4329
0.5882, 4728.87, 0.5848, 0.7809, 0.5451, 0.7317, 0.5848
0.5914, 4755.00, 0.0612, 0.3059, 0.0430, 0.9493, 0.0612
0.5947, 4781.13, 0.5426, 0.8958, 0.5275, 0.6057, 0.5426
0.5979, 4807.25, 0.7027, 1.0503, 0.6432, 0.7894, 0.7027
0.6012, 4833.38, 0.7535, 0.6797, 0.8046, 0.8499, 0.7535
0.6044, 4859.51, 0.6372, 0.5594, 0.6944, 0.6013, 0.6372
0.6077, 4885.63, 0.7447, 0.9127, 0.6978, 0.7810, 0.7447
0.6109, 4911.76, 0.7775, 1.1752, 0.7250, 0.3834, 0.7775
0.6142, 4937.89, 0.6340, 0.5594, 0.7208, 0.3005, 0.6340
0.6174, 4964.01, 0.4168, 0.9783, 0.5301, 0.3970, 0.4168
0.6207, 4990.14, 0.2225, 0.9200, 0.2610, 1.0887, 0.2225
0.6239, 5016.27, 0.2054, 0.5098, 0.1368, 1.7978, 0.2054
0.6272, 5042.39, 0.3165, 0.9854, 0.1269, 1.2278, 0.3165
0.6304, 5068.52, 0.2945, 0.5545, 0.3215, 0.5850, 0.2945
0.6337, 5094.64, 0.8885, 0.7201, 1.0107, 0.4375, 0.8885
0.6369, 5120.77, 1.0338, 1.2656, 1.0640, 0.6302, 1.0338
0.6402, 5146.90, 0.5494, 0.9938, 0.4485, 0.3862, 0.5494
0.6434, 5173.02, 0.4122, 0.2817, 0.5292, 0.5006, 0.4122
0.6467, 5199.15, 0.6969, 0.1078, 0.8646, 1.0465, 0.6969
