Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3411  1905  3718  2315 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,12-May-2025 16:08:14,
File, car_55.0 mm_6400ISO_-2EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_-2EV_Dist1_OFF_Focused.tiff,car_55.0 mm_6400ISO_-2EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_6400ISO_-2EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_6400ISO_-2EV_Dist1_ON_Focused.tiff,car_55.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus1.tiff,car_55.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_25600ISO_-2EV_Dist1_OFF_Focused.tiff,car_55.0 mm_25600ISO_-2EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_25600ISO_-2EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_25600ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , 
Lens, , , , , , , , , , , 
ISO speed, , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF20 (LW/PH) Mean Ctr,     91.4,    665.2,    148.1,     99.6,    599.8,    642.5,     88.2,    120.6,      NaN,    108.7,    416.6
LSF PW50 (pxl) Mean Ctr,  0.3443,  0.3777,  0.2649,  0.2512,  0.2835,  0.2051,  0.2376,  0.2741,  0.3255,  0.3977,  0.2492
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, 18.24942, -0.13188,  1.77489,  0.42281,  1.84827, -2.29754,  0.69261, -7.12454,  0.00000,  2.59635,  1.20544
CA (B-G %) Mean Ctr,  3.93835,  8.89915, -5.11126, 14.61362,  2.03843,  0.66888, -6.70100, 100.23918,  0.00000, -0.49441,  0.86924
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1703,  0.1758,  0.1621,  0.1632,  0.1387,  0.1745,  0.1507,  0.1606,  0.1250,  0.1681,  0.1185
s1-MTF50. Mean Ctr,     0.00738,     0.02234,     0.01206,     0.00846,     0.04545,     0.01586,     0.00774,     0.00566,     0.00405,     0.01012,     0.02334
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.05,  0.07,  0.06,  0.06,  0.05,  0.06,  0.06,  0.00,  0.00,  0.08,  0.06
Info Capacity C_max Mean Ctr,  1.44,  1.88,  1.50,  1.59,  1.47,  1.80,  1.81,  0.67,  3.36,  2.12,  1.91
SNRi 2x8 pixels Mean Ctr,  4.00,  4.82,  3.50,  4.06,  5.34,  4.25,  2.25, -23.31, -17.65,  3.04,  3.87
Edge location sigma 2x8 Mean Ctr,  2.85,  2.67,  2.74,  2.62,  2.68,  2.92,  3.01, 94.86, 33.37,  3.02,  2.69

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
