Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3186  1998  3293  2141 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,
File, car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Focused.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , 
Lens, , , , , , 
ISO speed, , , , , , 
Focal length, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

Peak MTF Max Cor,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Min Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Min Cor,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Max Cor,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Max Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Min Cor,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Min Cor,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SNRi 2x8 pixels Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Edge location sigma 2x8 Min Cor,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

MTF50 (Cy/Pxl) Wtd mean,  0.0163,  0.0596,  0.0180,  0.0183,  0.0160,  0.0234
R1090 (pxl) Wtd mean, 41.2067,  1.2871, 41.1826, 76.3885, 43.0357, 26.8846
CA (pxl) Wtd mean,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Wtd mean,    131.3,    478.9,    144.4,    147.1,    128.6,    187.9
R1090 (/PH) Wtd mean,     97.6,   3123.4,     97.6,     52.6,     93.4,    149.5
Peak MTF Wtd mean,   1.534,   2.257,   1.097,   5.805,   1.459,   3.196
MTF50P (Cy/Pxl) Wtd mean,  0.4885,  0.3593,  0.4996,  0.4007,  0.3920,  0.3678
MTF50P (LW/PH) Wtd mean,   3927.5,   2889.1,   4016.7,   3221.3,   3151.8,   2957.4
MTF20 (Cy/Pxl) Wtd mean,  0.0367,  1.6221,  0.5355,  0.0635,  0.0295,  0.0312
MTF20 (LW/PH) Wtd mean,    295.1,  13041.6,   4305.1,    510.5,    237.1,    250.9
LSF PW50 (pxl) Wtd mean,  0.2512,  0.2299,  0.2433,  0.2813,  0.2967,  0.2081
