Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,12-May-2025 18:01:14,
File, cup_55.0 mm_6400ISO_-1EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_-1EV_Dist2_ON_Focused.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_-1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , 
Lens, , , , , , , , , , , 
ISO speed, , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF20 (Cy/Pxl) Mean Ctr,  0.0097,  0.0494,  0.0174,  0.0098,  0.1158,  0.0153,  0.0115,  0.0357,  0.0164,  0.0303,  0.0195
MTF20 (LW/PH) Mean Ctr,     78.0,    396.8,    140.0,     79.2,    930.9,    122.8,     92.5,    287.3,    132.0,    243.7,    156.5
LSF PW50 (pxl) Mean Ctr,  0.2629,  0.3059,  0.2612,  0.3187,  0.2745,  0.2821,  0.3899,  0.3365,  0.2296,  0.6250,  0.3285
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, 12.78450,  0.46989, -1.37289, 35.06167,  0.47639, -13.17616, -0.00000,  2.96281, 201.57457, 15.82540,  4.17911
CA (B-G %) Mean Ctr, -4.18450,  0.56567,  7.03054, 34.47953,  0.66821,  5.77661, -15.67330,  2.21350, 200.69978, -39.22349,  7.05313
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1280,  0.1734,  0.1467,  0.1299,  0.2082,  0.1688,  0.1418,  0.1962,  0.1825,  0.1138,  0.1488
s1-MTF50. Mean Ctr,     0.00668,     0.03467,     0.01157,     0.00662,     0.05100,     0.01062,     0.00705,     0.02817,     0.00946,     0.00543,     0.01343
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.05,  0.06,  0.04,  0.04,  0.07,  0.04,  0.06,  0.03,  0.05,  0.00,  0.03
Info Capacity C_max Mean Ctr,  1.21,  1.24,  1.16,  1.27,  1.57,  1.28,  1.48,  1.20,  1.36,  0.39,  1.15
SNRi 2x8 pixels Mean Ctr,  4.24,  4.08,  2.08,  1.76,  5.55,  2.96,  2.10,  1.40,  3.51, -13.83,  1.08
Edge location sigma 2x8 Mean Ctr,  2.64,  3.16,  3.64,  3.07,  3.20,  3.22,  3.40,  3.55,  3.02, 25.27,  4.48

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
